left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 401.36835  322.80368 1756.5175 ],[ 404.911    379.68628 1698.9115 ],[ 399.5363  251.3891 1785.2997],[ 497.5461   420.50867 1574.4219 ],[ 501.86032  437.8371  1549.6615 ],[ 298.25043  326.63086 1783.2234 ],[ 223.026    314.03476 1755.1368 ],[ 207.69127  311.467   1749.5195 ],[ 451.51544  665.4675  1380.6102 ],[ 372.55978  390.67984 1681.5844 ]
[ 400.2275  322.19   1760.6954],[ 403.79907  379.00824 1703.2468 ],[ 397.72406  251.37036 1794.4724 ],[ 495.78802  420.42725 1573.9436 ],[ 500.28378  437.4949  1547.5398 ],[ 296.50424  328.00906 1795.2998 ],[ 220.97868  322.46667 1750.9128 ],[ 205.41171  321.3243  1742.0354 ],[ 438.43185  641.6923  1671.4391 ],[ 371.75122  390.4377  1683.1757 ]
[ 399.01404  321.66785 1764.8003 ],[ 402.57867  378.5074  1708.2241 ],[ 395.77332  251.36143 1803.1918 ],[ 492.30554  420.9891  1576.9767 ],[ 496.48694  438.02386 1550.071  ],[ 297.98856  332.14642 1794.427  ],[ 222.3864   333.98096 1733.0214 ],[ 206.61847  334.3636  1720.7402 ],[ 437.04187  641.5774  1680.1766 ],[ 370.73706  390.268   1685.6292 ]
[ 397.72415  321.33774 1770.336  ],[ 401.63324  378.1147  1713.2748 ],[ 394.0937   251.40964 1810.6354 ],[ 487.789   421.7719 1580.7875],[ 491.5714   438.85925 1554.0392 ],[ 295.37964  331.7736  1797.1387 ],[ 222.9445  348.5843 1702.9955],[ 207.48569  352.17194 1684.1669 ],[ 436.17282  639.174   1689.7314 ],[ 370.19952  390.3409  1688.073  ]
[ 396.2645   321.10242 1777.4023 ],[ 400.49622  377.7759  1720.4161 ],[ 392.69165  251.49928 1818.3429 ],[ 484.05563  422.13995 1576.5604 ],[ 487.7069   439.08536 1548.9158 ],[ 300.1952  335.2633 1796.1954],[ 231.9467  363.5422 1693.3563],[ 217.29002  369.61523 1672.7885 ],[ 434.88663  637.085   1698.6562 ],[ 369.49893  390.13074 1693.2539 ]
[ 395.28314  320.87106 1782.4996 ],[ 399.64114  377.4724  1725.2667 ],[ 391.56857  251.55827 1825.3252 ],[ 481.3884   420.45224 1579.2383 ],[ 484.88507  437.32892 1551.6573 ],[ 305.45493  338.5136  1794.6417 ],[ 245.36563  380.57956 1680.0917 ],[ 232.35092  389.6906  1657.1816 ],[ 433.88904  636.8248  1699.6893 ],[ 368.54187  389.82922 1699.9897 ]
[ 393.7176   320.65833 1788.214  ],[ 398.35626  377.13293 1730.0101 ],[ 390.28284  251.65918 1832.4227 ],[ 476.9673   419.32196 1580.0743 ],[ 480.22528  436.15338 1552.376  ],[ 306.86673  337.03925 1799.5667 ],[ 259.95496  392.3601  1673.0441 ],[ 249.70807  404.4438  1647.7395 ],[ 432.36273  636.79474 1699.9565 ],[ 367.29922  389.44223 1704.9385 ]
[ 391.03894  320.50116 1796.3964 ],[ 395.52182  376.7917  1737.5139 ],[ 388.5542   251.84908 1839.7345 ],[ 472.50308  416.3808  1583.6161 ],[ 475.52472  433.18137 1556.0023 ],[ 309.02054  334.95224 1809.4143 ],[ 278.35983  398.72348 1669.718  ],[ 271.60156  412.78003 1641.7788 ],[ 428.88373  636.3675  1702.4557 ],[ 364.24426  388.41953 1716.224  ]
[ 386.78308  320.27124 1805.1575 ],[ 390.4688   376.37082 1745.8324 ],[ 386.3336   252.05553 1846.4747 ],[ 467.6419   415.59534 1582.6167 ],[ 469.6264   432.41898 1554.5825 ],[ 310.84918  331.23984 1818.4362 ],[ 294.0334  397.3335 1665.4197],[ 290.29248  412.03693 1634.8164 ],[ 422.93964  635.536   1706.73   ],[ 359.02936  386.80228 1727.6221 ]
[ 381.3873  320.7872 1816.08  ],[ 383.76093  376.60703 1755.6173 ],[ 383.75922  253.15115 1852.4595 ],[ 462.56772  415.60202 1573.2828 ],[ 463.44464  432.24292 1543.6375 ],[ 310.55685  332.27274 1817.8761 ],[ 303.2996  401.3444 1666.3374],[ 301.68683  416.6942  1636.0297 ],[ 415.81662  632.71136 1718.1094 ],[ 351.94806  385.1849  1745.3135 ]
[ 375.82172  321.60873 1827.2329 ],[ 377.0655   377.08707 1764.4897 ],[ 381.16943  254.75404 1858.1064 ],[ 463.67163  408.86612 1545.8151 ],[ 464.83505  424.1964  1510.8195 ],[ 310.70996  332.05453 1819.5282 ],[ 310.0902  398.023  1653.4429],[ 309.95102  412.83963 1620.2258 ],[ 424.5317  655.2607 1478.4724],[ 345.26868  384.44968 1753.5852 ]
[ 373.1287  322.3947 1834.9763],[ 374.42383  377.509   1768.4752 ],[ 379.5256   256.25858 1862.2201 ],[ 462.26648  410.18015 1555.6172 ],[ 464.23596  425.75232 1521.484  ],[ 311.13934  333.81827 1826.0065 ],[ 315.07318  392.84866 1642.2523 ],[ 315.96802  406.2762  1605.5015 ],[ 427.207   651.6001 1472.9327],[ 343.80585  385.71185 1749.4806 ]
[ 372.6319   324.89166 1837.7675 ],[ 375.01794  379.46143 1765.1234 ],[ 378.65323  257.80048 1865.2582 ],[ 460.6931   402.72916 1549.4471 ],[ 462.84854  416.89154 1512.2582 ],[ 312.76297  335.40057 1835.1326 ],[ 319.56644  384.55594 1634.0374 ],[ 321.13315  395.87552 1593.8184 ],[ 437.56854  628.75104 1407.7865 ],[ 345.1982   384.59445 1744.253  ]
[ 374.01044  327.1385  1835.8917 ],[ 377.25217  381.46173 1761.0345 ],[ 378.28586  259.12036 1866.5433 ],[ 457.17624  399.3956  1545.13   ],[ 459.00873  413.08215 1507.317  ],[ 313.09787  336.71664 1824.2822 ],[ 318.97763  378.96606 1613.7942 ],[ 320.3426  388.7739 1571.6965],[ 429.28308  615.8405  1387.896  ],[ 347.7875  382.7723 1737.9363]
[ 376.74228  328.38947 1826.2844 ],[ 379.9953   383.08533 1755.1633 ],[ 378.2938  259.6162 1865.9471],[ 448.28152  395.84622 1546.5269 ],[ 448.31488  408.9816  1508.7589 ],[ 312.94684  335.5002  1812.4749 ],[ 319.58203  365.66913 1592.6156 ],[ 321.13513  372.73083 1548.6438 ],[ 419.00418  658.0531  1524.2609 ],[ 353.39313  390.90387 1723.0582 ]
[ 379.87543  327.95245 1815.0571 ],[ 382.6928   383.18393 1751.0859 ],[ 378.52783  259.55862 1865.7388 ],[ 442.6502   392.98154 1549.3357 ],[ 441.66754  405.72757 1511.7706 ],[ 311.70563  335.02634 1793.6145 ],[ 318.5742  358.4206 1571.1711],[ 320.1881  363.9175 1526.6825],[ 413.883    639.10925 1721.5093 ],[ 355.2813  397.1886 1724.1688]
[ 381.32034  328.06467 1805.2504 ],[ 383.4629   383.71426 1747.2175 ],[ 378.16693  259.3259  1865.9392 ],[ 432.2331   386.84494 1558.5365 ],[ 429.08188  398.6823  1521.7506 ],[ 309.93106  333.18106 1786.4652 ],[ 315.75165  347.39008 1562.6406 ],[ 317.12173  350.73474 1517.8757 ],[ 415.8158   640.96606 1717.0334 ],[ 353.29114  396.31393 1725.086  ]
[ 380.87836  328.7071  1799.204  ],[ 382.72186  384.5189  1744.4419 ],[ 377.34372  259.09692 1867.5288 ],[ 428.69537  373.8915  1551.728  ],[ 424.66763  383.094   1512.9309 ],[ 308.8114  331.948  1781.3534],[ 306.7036  332.4158 1559.3964],[ 306.20795  332.52582 1515.005  ],[ 415.55222  641.80945 1717.154  ],[ 351.49677  396.5284  1727.1251 ]
[ 379.60486  329.59695 1797.7374 ],[ 381.03     386.45068 1740.5399 ],[ 376.5171   258.95767 1870.4893 ],[ 418.1916  363.06   1560.8628],[ 411.63458  369.8535  1523.4738 ],[ 308.42035  330.9463  1783.6051 ],[ 294.43066  338.29413 1562.2281 ],[ 291.14307  340.0209  1517.9528 ],[ 413.90295  641.5366  1717.3551 ],[ 349.5713   396.65137 1725.7456 ]
[ 377.63098  330.00955 1797.4856 ],[ 378.91364  387.66583 1738.518  ],[ 375.54395  258.8472  1873.2633 ],[ 415.98862  352.59558 1557.6499 ],[ 408.72656  357.16336 1520.3613 ],[ 305.99786  331.4623  1784.0728 ],[ 283.45807  345.1652  1566.6536 ],[ 278.17795  348.3752  1523.1697 ],[ 411.6643   640.59656 1719.5856 ],[ 347.77838  396.6427  1724.6064 ]
[ 376.00482  329.61154 1799.2285 ],[ 377.5989  387.8533 1739.5065],[ 374.74524  258.77582 1875.714  ],[ 417.279   341.1611 1554.0966],[ 410.0335  343.0024 1516.6118],[ 300.76773  331.42258 1779.8989 ],[ 272.1124   316.83514 1578.4849 ],[ 265.48083  313.45923 1538.202  ],[ 409.62805  638.96906 1722.8912 ],[ 347.45956  395.65125 1727.0613 ]
[ 375.09906  327.90482 1807.6235 ],[ 377.49292  385.09122 1747.176  ],[ 374.30188  257.94107 1879.8162 ],[ 413.11853  329.5336  1559.6888 ],[ 404.8985   329.00348 1523.4219 ],[ 296.65808  327.6619  1775.4642 ],[ 256.3604   298.49524 1600.1052 ],[ 247.21722  291.87756 1565.0334 ],[ 414.29773  665.26575 1541.5608 ],[ 348.10165  393.8316  1731.8124 ]
[ 374.7591  326.2094 1815.0215],[ 377.5042  383.7755 1754.6125],[ 374.06802  256.9017  1883.3159 ],[ 404.9129   322.90903 1579.4038 ],[ 395.031    321.09116 1546.8619 ],[ 292.8109   324.40707 1773.0985 ],[ 244.3918   292.04605 1618.0682 ],[ 233.57283  284.8152  1587.0621 ],[ 413.99512  663.94293 1551.6914 ],[ 348.18893  393.3316  1735.4248 ]
[ 374.76273  324.70908 1817.495  ],[ 377.68097  382.7421  1758.4153 ],[ 374.08594  255.66127 1885.1207 ],[ 400.7385  315.5213 1590.4486],[ 390.1092   312.45038 1560.2487 ],[ 292.07584  324.49683 1781.4817 ],[ 238.59918  291.3184  1641.3062 ],[ 226.78867  283.99084 1613.271  ],[ 414.18484  663.8757  1541.0724 ],[ 347.9984  393.0508 1736.2548]
[ 375.49792  323.6023  1818.7573 ],[ 377.97174  382.05    1760.9994 ],[ 374.35623  254.3246  1886.0929 ],[ 398.86185  310.9238  1590.9515 ],[ 387.91406  307.2957  1561.7365 ],[ 291.23047  324.365   1793.1699 ],[ 232.44617  291.0657  1672.4468 ],[ 219.656    283.82053 1648.3021 ],[ 414.3677  664.5282 1526.3525],[ 347.6895   392.71054 1737.6102 ]
[ 376.7598   322.60806 1818.003  ],[ 378.4867   381.48944 1762.824  ],[ 374.7571   252.91226 1886.5625 ],[ 408.51788  309.80792 1620.8005 ],[ 399.4854   305.56604 1589.025  ],[ 290.90872  323.61847 1803.9124 ],[ 229.5475   291.21768 1696.4297 ],[ 216.33023  284.23853 1674.9331 ],[ 414.27313  664.721   1518.4928 ],[ 347.80307  392.25555 1737.3492 ]
[ 378.46185  321.76178 1816.5184 ],[ 379.2516   381.01797 1764.2474 ],[ 375.91113  251.56168 1886.4869 ],[ 414.1942  309.7042 1638.4879],[ 405.697   305.5809 1606.1418],[ 290.75366  320.36627 1808.9453 ],[ 227.23021  289.2755  1711.8383 ],[ 213.65076  282.62924 1692.4169 ],[ 414.28177  664.43994 1504.7896 ],[ 348.30478  392.33926 1737.3168 ]
[ 380.20392  320.79306 1815.7858 ],[ 380.53748  380.29276 1765.1245 ],[ 377.47418  250.1788  1886.4824 ],[ 390.46594  298.268   1571.2225 ],[ 378.3648   294.99942 1544.2144 ],[ 289.58368  318.24002 1815.6941 ],[ 224.09549  288.9221  1728.8481 ],[ 210.20033  282.70148 1711.479  ],[ 414.1997  663.8998 1493.7327],[ 349.442    392.21768 1737.645  ]
[ 381.40195  320.3773  1814.1984 ],[ 382.04575  380.13327 1765.1897 ],[ 379.1878  249.3984 1886.2529],[ 383.75378  295.84216 1574.3525 ],[ 370.2885   292.55054 1551.5406 ],[ 291.16333  316.25098 1821.0884 ],[ 224.14702  289.87494 1739.0276 ],[ 209.97758  284.29816 1722.6155 ],[ 414.29877  663.3679  1491.1628 ],[ 351.0117   392.05023 1738.1078 ]
[ 382.0987   320.37976 1813.4644 ],[ 383.45398  380.31714 1764.9823 ],[ 380.8006  248.9703 1886.1868],[ 382.76184  296.9167  1581.0259 ],[ 369.05652  293.96124 1559.0712 ],[ 291.82224  314.9534  1823.9084 ],[ 222.38884  293.98862 1746.9067 ],[ 207.7611  289.5719 1731.5063],[ 415.52625  663.1823  1493.1744 ],[ 352.6096  391.9564 1738.3505]
[ 382.5216  320.6498 1813.1068],[ 384.26773  380.71832 1764.6224 ],[ 382.32468  248.79619 1886.2064 ],[ 381.1044   297.62808 1589.3081 ],[ 366.9504   294.17694 1570.0701 ],[ 291.60385  313.73682 1826.7181 ],[ 220.43231  297.887   1753.9253 ],[ 205.48317  294.55783 1739.3667 ],[ 418.95117  662.93054 1496.1522 ],[ 353.57822  392.00818 1738.1118 ]
